제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
모두의 인공지능 기초 수학,서지영,길벗,2020년 08월,25000,22500,29,"1,626",N/A,"인공지능 수학을 처음 시작하는 분에게 안성맞춤기초 수학에서 미분, 선형대수학, 확률과 통계 핵심 내용까지!가장 쉬운 인공지능 수학 입문서!인공지능의 기초는 수학이다. 그렇다면 어디서부터 어떻게 시작해야 할...",https://www.yes24.com/product/goods/91358533
7가지 프로젝트로 배우는 LLM AI 에이전트 개발,황자 /김진호 역,제이펍,2025년 04월,36000,32400,4,"3,894",N/A,"AI 에이전트 시대가 왔다 에이전트는 자연어를 이해하고 그에 맞는 응답을 생성할 뿐만 아니라 특정 작업을 수행할 수 있는 인공지능이다. 단순한 콘텐츠 생성 도구를 넘어, 복잡한 업무를 매끄럽게 연결해주는 핵심...",https://www.yes24.com/product/goods/144457106
메타버스 시대의 사물 인터넷(IoT),"양순옥, 김성석",생능출판사,2023년 02월,28000,28000,0,"1,302",N/A,"이 책은 사물 인터넷이 왜 4차 산업 혁명의 핵심 기술인지, 어떻게 초연결 메타버스로 확대될 수 있는지, 또 다른 주요 기술은 무엇인지, 그리고 그 파급 효과를 스마트자동차와 스마트공장을 통해 이해할 수 있도록...",https://www.yes24.com/product/goods/117095957
챗GPT 질문의 기술,이선종,영진닷컴,2024년 11월,22000,19800,6,"5,508",N/A,"AI 리터러시가 필요한 시대에서 가장 중요한 것은 ‘질문하는 힘’인공지능으로 인한 정보 격차 심화, 고용 및 경제 구조 변화 등 사회 전반의 전환이 예상되는 가운데, 다가오는 시대를 대비하려면 인공지능의 기능...",https://www.yes24.com/product/goods/136446856
이토록 쉬운 10가지 프로젝트로 끝내는 트랜스포머 활용 가이드 with 파이토치,프렘 팀시나 /임선집 역,루비페이퍼,2025년 02월,28000,25200,11,"1,404",N/A,"단계별 프로젝트로 마스터하는허깅페이스 트랜스포머 활용법!트랜스포머의 기본적인 이론은 물론 10가지 프로젝트를 통한 실전 애플리케이션 구현까지 균형 있게 경험해볼 수 있다. 자연어 처리, 컴퓨터 비전, 음성 ...",https://www.yes24.com/product/goods/142636957
AI 이후의 인간,반병현,생능북스,2025년 10월,23000,20700,19,228,N/A,"인공지능의 기술적 진화부터 사회적 파장, 철학적 질문까지 총망라한 AI 입문서다. 특히 비전공자를 위한 친절한 설명과 흥미로운 사례 중심의 구성으로, 복잡한 기술을 쉽게 풀어낸다. 또한 이 책은 단순한 기술 안...",https://www.yes24.com/product/goods/153821283
챗GPT와 함께 배우는 인공지능 엔트리 마스터하기,"김종훈, 김현경, 김동건 공",골든래빗,2025년 03월,22000,19800,0,"1,602",N/A,"문제해결 능력을 키워주는 인공지능 엔트리 첫걸음!챗GPT와 함께 단계별 체계적인 학습으로 AI 문해력, 사고력까지 쑥쑥!인공지능 시대에 AI 문해력, 사고력은 이제 필수이다. 대다수 엔트리 책은 기초 내용만 담고 ...",https://www.yes24.com/product/goods/143251916
디자인 경험을 바꾸는 UX/UI 디자인 with AI,유훈식,한빛미디어,2025년 06월,32000,28800,7,"1,050",N/A,"한 번의 클릭, 한 줄의 문장으로와이어프레임, 무드 보드, 아이콘, 시스템 디자인까지디자이너의 발전사를 되돌아보면 실행자에서 의사 결정자로, 심미적인 영역에서 비즈니스 영역으로, 국소적인 전문 분야에서 통...",https://www.yes24.com/product/goods/148121780
AI 시대의 글쓰기,장성민,커뮤니케이션북스,2024년 10월,12000,12000,0,732,N/A,"생성 AI가 글쓰기에 미치는 영향을 다룬다. AI 기술이 글쓰기 과정을 어떻게 변화시키는지 탐구하며, 교육적 활용 방안을 제시한다. AI가 글쓰기 도구로서 가지는 가능성과 한계를 분석하고, 필자의 주체성과 책임감...",https://www.yes24.com/product/goods/135147958
신경망 첫걸음,타리크 라시드  / 송교석 역,한빛미디어,2017년 04월,25000,22500,42,"1,197",N/A,"인류에겐 이런 딥러닝 입문서가 필요했다 딥러닝 입문자가 늘고 있지만, 수학 이론을 공부하자니 갈 길이 멀고 원리를 무시한 채 코딩부터 하자니 응용이 불가능하다. 수학 공식과 통계 이론을 달달 익혀야 딥러닝을...",https://www.yes24.com/product/goods/37883845
챗GPT 120% 투자 질문 기술,ChatGPT 비즈니스 연구회 /김모세 역,정보문화사,2025년 06월,15000,13500,22,"1,164",N/A,"역사상 가장 강력한 투자 활용 도구인 ChatGPTGPTs는 사용 목적에 맞게 이미 훈련이 완료된 맞춤형 ChatGPT로, 특정한 목적이 있는 경우 사용자가 일일이 훈련시키지 않아도 원하는 답변을 출력받을 수 있다는 장점...",https://www.yes24.com/product/goods/147101135
대체 뭐가 문제야,제럴드 M. 와인버그,인사이트(insight),2013년 01월,11000,9900,4,948,N/A,도요타(TOYOTA) 생산시스템을 완성한 오노 다이이치는 생각하는 힘을 기르기 위해 ‘왜’를 다섯 번 반복해 보라고 얘기한다. 문제의 현상이 아니라 근원에 도사리고 있는 게 뭔지 이해해야 문제를 해결할 수 있기 ...,https://www.yes24.com/product/goods/8301384
생성형 AI를 활용한 논문 작성법,김귀훈 등,홍릉,2025년 06월,29000,29000,0,513,N/A,N/A,https://www.yes24.com/product/goods/148767861
인공지능 활용능력 평가 AICE FUTURE 3급,DIGICO KT,한국경제매거진,2022년 11월,16000,16000,4,"2,163",N/A,N/A,https://www.yes24.com/product/goods/115385969
