제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호,골든래빗,2025년 09월,24000,21600,9,"30,381",N/A,"★ 200달러 MAX 플랜으로 매일 10시간씩 실험하여 얻은 노하우를 모두 담았다!★ 어디에도 없는 클로드 코드 최강 팁과 노하우, 레시피를 빠르게 알고 싶다면?★ 이 책으로 천상계에서 개발하는 진짜 바이브 코더가 ...",https://www.yes24.com/product/goods/151850127
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,27000,24300,25,"22,371",N/A,대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다....,https://www.yes24.com/product/goods/150566390
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,20000,18000,58,"52,032",N/A,"2022 개정 교육과정에 맞춘 실전 에듀테크 활용서챗GPT, 구글 스프레드시트, 캔바, 퍼플렉시티, 클로드, LilysAI, Jungle AI, Sora, NotebookLM, Napkin AI 등 최신 AI 도구가 이 한권에! 생활기록부, 평가 계획 작...",https://www.yes24.com/product/goods/145426898
밑바닥부터 만들면서 배우는 LLM,세바스찬 라시카 /박해선 역,길벗,2025년 09월,40000,36000,14,"13,164",N/A,"한 줄 한 줄 코드를 따라가다 보면, 나만의 GPT가 완성된다!GPT를 밑바닥부터 구현하며 LLM의 원리를 손끝으로 체득하는 실전 가이드어려운 개념은 그림으로 풀고, LLM은 직접 만들면서 배운다. 이 책은 대규모 언어...",https://www.yes24.com/product/goods/154099735
AI 시대의 필수 문해력 수업,조기준,아토북,2025년 09월,17500,15750,27,"20,259",N/A,"국어 문제를 푸는 훈련이 아니라,태도와 커리어를 결정하는 힘!“AI 시대, 당신의 마지막 경쟁력은 ‘문해력’이다!”AI가 글을 요약해주고, 회의록까지 자동으로 정리하는 시대. 그러나 말투 하나, 맞춤법 하나, 보...",https://www.yes24.com/product/goods/153901970
한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,"조훈, 정찬훈",길벗,2025년 09월,26000,23400,9,"13,389",N/A,"현장에서 바로 적용할 수 있는 클로드 코드 실전 가이드!실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 학습으로 클로드 코드 완전 정복!AI와 함께 개발하는 시대, 이제 클로드 코드는 더 이상 선택이 아닌 필...",https://www.yes24.com/product/goods/152379887
AI 에이전트 생태계,조쉬,로드북,2025년 08월,27000,24300,5,"16,440",N/A,"AI는 이제 LLM을 넘어, ‘에이전트의 시대’로 진입하고 있다. 『AI 에이전트 생태계』는 단순한 개발자용 튜토리얼이나 최신 트렌드 모음이 아니다. LangGraph, MCP, A2A 같은 기술 조각들을 나열하는 데 그치지 않...",https://www.yes24.com/product/goods/149414736
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",시프트,2025년 09월,20000,18000,25,"12,120",N/A,"AI로 시작하는 음악, 쉽고 재미있게 나만의 음악을 만들며, 음악의 매력에 빠져 보자!'AI에서 클릭 몇 번이면 음악이 뚝딱 완성되는데, 과연 책을 볼 필요가 있을까?' 직접 AI를 사용하여 음악을 만들어 보면 가졌던...",https://www.yes24.com/product/goods/152644865
바로 배워서 바로 써먹는 바이브 코딩,"박찬, 김병석, 전수연, 김지용, 구현희  외 3명
                                        
정보 더 보기/감추기



박찬
김병석
전수연
김지용
구현희
전채원
홍찬우
이상선",다빈치books,2025년 09월,22000,19800,41,"13,137",N/A,누구나 아이디어만 있다면 누구나 멋진 웹 앱을 만들 수 있다!바이브 코딩(Vibe Coding)은 코딩을 전혀 모르는 사람도 생성형 AI에 프롬프트(명령어)를 입력하여 코드를 작성하고 서비스 샘플을 만들어주는 도구이다...,https://www.yes24.com/product/goods/152079426
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,박현규,골든래빗,2025년 09월,24000,21600,82,"10,050",N/A,"★ 월 20달러로 커서 AI를 300% 활용해보자, 당신의 아이디어를 바로 애플리케이션으로 만들어보자!★ 랜딩 페이지부터 블로그 만들기까지, 코딩 1도 몰라도 바로 시작할 수 있다!★ 커서 AI와 대화하면서 프로그래...",https://www.yes24.com/product/goods/153029475
된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,20000,18000,84,"18,657",N/A,GPT 분야 3 년 연속 베스트셀러! 최신 버전 GPT-4.1 반영!초보자도 1 시간이면 바로 사용 가능! 업무부터 자기 계발까지 챗 GPT 에게 일 시키고 시간 버는 법!챗 GPT 입문 분야 베스트셀러인 『된다! 하루 만에 끝내...,https://www.yes24.com/product/goods/146955725
"요즘 AI 에이전트 개발, LLM RAG ADK MCP LangChain A2A LangGraph",박승규,골든래빗,2025년 08월,32000,28800,0,"9,477",N/A,★ AI 에이전트 실전 실무 개발자가 선사하는★ 싱글 에이전트부터 멀티 에이전트까지 ★ 60가지 예제로 배우는 실전 개발 비법을 만나자!이 책은 실무에서 AI 에이전트를 개발하는 저자가 쌓은 모든 노하우를 녹여 ...,https://www.yes24.com/product/goods/150701473
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원,한빛미디어,2025년 10월,19000,17100,5,"6,018",N/A,"이보다 쉬운 챗GPT & AI 책은 없다!왕초보를 위한, 세상에서 가장 쉬운 챗GPT & AI 입문서 누구나 아는, 그러나 나만 몰랐던 챗GPT와 AI, 이 책은 IT에 서툰 분도 단숨에 따라 할 수 있도록 진짜 쉽고 친절하게 설명...",https://www.yes24.com/product/goods/154232193
Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용,이지스퍼블리싱,2025년 05월,35000,31500,16,"13,875",N/A,"GPT API를 활용한 업무 자동화부터 랭체인과 랭그래프를 활용한 멀티에이전트 개발까지!한 권으로 끝내는 AI 에이전트 개발 입문! AI가 모두의 일상을 바꾸고 있는 지금, AI 기술을 제대로 이해하고 활용하는 방법을...",https://www.yes24.com/product/goods/146036009
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2025년 04월,32000,28800,140,"15,729",N/A,"머신러닝 분야 부동의 베스트셀러! 트랜스포머와 LLM 실습까지 더 많이 채웠다!케라스는 물론 파이토치까지, 혼자서도 1:1 과외하듯 배우는 인공지능 자습서 ** 혼공 용어 노트, 저자 직강 유튜브 강의, FAQ(자주 하...",https://www.yes24.com/product/goods/143912145
AI 엔지니어링,칩 후옌 /변성윤 역,한빛미디어,2025년 09월,40000,36000,1,"3,786",N/A,"최고의 AI 전문가 칩 후옌이 엔비디아, 스노클 AI, 스탠퍼드에서 쌓은 현장 경험과 노하우!모델 활용을 넘어서, 실전으로 통하는 AI 서비스 설계 가이드“프로덕트 레벨에 맞는 설계란 무엇일까요?”파운데이션 모델...",https://www.yes24.com/product/goods/154925812
요즘 교사를 위한 AI 디지털 수업 설계 가이드 with 2022 개정 교육과정,"김진관, 김상섭, 이대형, 이상선, 윤신영",한빛미디어,2025년 08월,22000,19800,34,"5,490",N/A,"기술 나열은 그만, 교육 철학과 AI가 만나는 진짜 수업 설계 가이드생성형 AI를 활용한 교과 세특 작성, 맞춤형 도구 개발 등 실제 적용 노하우 수록자체 개발 수업 설계 템플릿, 학습 지원 도구, 평가 도구 플랫폼 ...",https://www.yes24.com/product/goods/151350143
요즘 당근 AI 개발,당근 팀,골든래빗,2025년 10월,22000,19800,42,"4,674",N/A,"★ ‘당근’의 진짜 AI 활용과 개발 이야기★ 사용자 문제를 AI로 해결하는 당근 팀의 여정을 만나 보세요.‘AI로 과연 될까?’라는 질문은 ‘AI로 어떻게 하면 될까?’라는 고민으로 이어졌습니다. 엔지니어, 프로...",https://www.yes24.com/product/goods/154566057
AI 리터러시 : 인공지능 필수 지식부터 완벽 활용까지,김용성,프리렉,2024년 12월,25000,22500,162,"32,802",N/A,"AI 시대에 필수로 알아야 할 인공지능의 원리와 개념부터학생·직장인·공무원·교육자·연구자·자영업자, 누구에게나 당장 유용한 생성형 AI 서비스 59종까지!아직 AI의 잠재력을 다 누리고 있지 못한 당신을 넥스트 레...",https://www.yes24.com/product/goods/139705941
교사를 위한 패들렛 Padlet,안익재,앤써북,2025년 03월,16800,15120,47,"12,666",N/A,『교사를 위한 패들렛 Padlet』은 유치원·어린이집 및 초·중·고 교사가 수업에 즉시 활용할 수 있는 패들렛 수업 활용 방법을 소개하는 실전 활용서이다. 패들렛 기본 기능부터 교사가 알아두면 유용한 심화 기능까...,https://www.yes24.com/product/goods/143786416
인공지능이 다 해주는 브루 Vrew 영상 편집,지현이 /브루 개발팀 감수,시프트,2024년 10월,20000,18000,17,"13,656",N/A,주제만 입력하면 대본 작성부터 영상 생성까지 한 방에 해결해 주는 브루 영상 편집!ChatGPT로 많은 사용자에게 알려진 생성형 인공지능은 이제 어느 분야든 적용되지 않는 곳이 없을 정도로 대중화되었다. 영상 편...,https://www.yes24.com/product/goods/133823740
"돈 되는 AI, 어디서부터 무엇을 어떻게 해야 할까",장동인,리코멘드,2025년 09월,25000,22500,3,"3,264",N/A,★ 엔비디아 젠슨 황의 성공 비결부터 ChatGPT·딥시크·RAG·AI 에이전트까지★ 급격히 진화하는 AI 패러다임 속 기업이 생존하고 성장하기 위한 실질적 전략!AI는 이제 더 이상 선택이 아닌 기업이 생존하기 위한 필...,https://www.yes24.com/product/goods/154254878
AI 전략수업: AI 시대의 유일한 인간 생존 로드맵,리더인 (이다인),하이스트,2025년 09월,26000,23400,13,"4,533",N/A,"『AI 전략 수업』은 GPT-5 최신 업데이트를 포함해 챗GPT와 다양한 AI 활용법을 한 권에 담은 실전 가이드다. 삼성을 비롯한 38개 기업과 협업하며 AI 혁신을 이끌어 온 저자가, 기초 마인드셋부터 질문 설계, AI 모...",https://www.yes24.com/product/goods/151877365
된다! 하루 만에 준비하는 AI 학교 수업 활용법,"정인걸, 김경수",이지스퍼블리싱,2025년 03월,19800,17820,38,"11,235",N/A,"2022 개정 교육과정 반영! AI 디지털 교과서 시대의 해법!교육감, 한국과학창의재단 강사 추천!상위 1% 에듀테크 교사의 수업 비법을 공개합니다!AI 디지털 교과서 도입을 두고 찬반이 이어지는 가운데 교사와 아이...",https://www.yes24.com/product/goods/142814138
AI 영상 제작,"민지영, 문수민, 전은재, 앤미디어",길벗,2024년 06월,25000,22500,91,"19,932",N/A,"속지 않을 자신 있나요? 숏폼부터 딥페이크까지 미드저니, 챗GPT부터 캡컷, 피카, 스테이블 디퓨전, 스테이블 비디오까지 활용법 수록쇼츠, 릴스, 틱톡을 자유자재로! 누구나 쉽고 빠르게 콘텐츠 제작! 놀라운 딥페...",https://www.yes24.com/product/goods/127102247
AI  혁명,송경희,메디치미디어,2025년 05월,20000,18000,1,"5,280",N/A,"“우리는 AI 혁명의 수동자가 아니라,그 변화를 능동적으로 만들어가는 주체가 되어야 한다”AI 혁명 시대, 지혜롭게 살기 위한 필독서!인공지능 정책 전문가 송경희 교수가 들려주는 AI 시대의 생존과 성장 전략!바...",https://www.yes24.com/product/goods/146505415
AI 영상×미드저니·런웨이·소라·클링·하이루오,안재홍,길벗,2025년 08월,26000,23400,9,"4,242",N/A,"영상 이론부터 기획, 제작, 실무 노하우를 한 권으로 끝낸다!상상 속 장면을 현실로 만드는 영상 생성 AI 활용법생성형 AI 기술의 발전으로 영상 제작의 진입장벽은 낮아졌지만, 여전히 ‘어디서부터 시작해야 할지...",https://www.yes24.com/product/goods/151152657
난생처음 파이썬 프로그래밍,"우재남, 최민아",한빛아카데미,2021년 06월,24000,24000,15,"7,713",N/A,실생활 예제와 동영상 강의로 난생처음 배우는 파이썬 프로그래밍이 책은 파이썬의 핵심 문법을 다양한 삽화와 도식을 통해 시각적으로 설명하여 비전공자도 쉽고 재미있게 배울 수 있습니다. 또한 각 장마다 수록된...,https://www.yes24.com/product/goods/102485981
나만의 MCP 서버 만들기 with 커서 AI,서지영,길벗,2025년 07월,24000,21600,16,"6,084",N/A,"공개된 MCP 서버도 사용해보고, 나만의 MCP 서버도 만들고, 누구나 커서와 클로드 데스크톱으로 MCP 서버를 쉽게 만들어볼 수 있다!MCP는 LLM 기반 에이전트와 도구들을 연결할 수 있도록 설계된 프로토콜로, 다양한...",https://www.yes24.com/product/goods/150009569
된다! 하루 만에 만드는 AI 사진 & 이미지,김원석,이지스퍼블리싱,2025년 08월,17800,16020,40,"4,212",N/A,"인스타그램, 유튜브에 쓸 이미지, 아직도 찾는다면? 광고, 카드뉴스, AI 모델까지! 이제 5분이면 직접 만들 수 있다! AI가 내 말을 못 알아듣는 진짜 이유는 '요청 방식'이다. 『된다! 하루 만에 만드는 AI 사진 & ...",https://www.yes24.com/product/goods/151780100
콘텐츠 디자인은 피그마 with AI,김선영,골든래빗,2025년 08월,26000,23400,6,"4,290",N/A,"★ 디자인이 어렵다고요? 디자인이 필요한 모든 순간, 피그마와 함께하세요★ 피그마 버즈, 드로우, AI 기능 등 최신 업데이트 반영★ 기초부터 심화까지 단 한 권으로 피그마 콘텐츠 디자인 완성하기디자인, 아직도...",https://www.yes24.com/product/goods/150110126
핸즈온 머신러닝,오렐리앙 제롱 /박해선 역,한빛미디어,2023년 09월,60000,54000,39,"7,149",N/A,"실무 밀착형 예제부터 스테이블 디퓨전 등 최신 머신러닝 트렌드까지주요 인공 지능 콘퍼런스에서 전문가들이 소개한 최고의 실전 지침서** 독자의 편의를 고려한 분권(1권, 2권)** 최신 라이브러리 버전으로 전체 ...",https://www.yes24.com/product/goods/122338517
Do it! 커서로 시작하는 AI 코딩 입문,고경희,이지스퍼블리싱,2025년 09월,23000,20700,3,"2,466",N/A,"웹 개발 기초부터 AI 코딩 서비스인 커서 활용법까지!AI 코딩을 시작하는 모두를 위한 가장 친절한 입문서AI가 코드를 생성하는 시대, 이제 복잡한 문법을 외우지 않아도 웹 개발을 시작할 수 있다. 《Do it! 커서로...",https://www.yes24.com/product/goods/154286556
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정,리코멘드,2025년 01월,24000,21600,12,"12,615",N/A,이제는 AI를 하나만 알아서는 안 되는 시대내 일에 적합한 AI를 찾아 조합하면 퇴근이 빨라진다!2022년 11월! 챗지피티가 처음 등장했고 무엇이든지 묻기만 하면 원하는 대답을 척척 해 내는 챗지피티를 처음 봤을 ...,https://www.yes24.com/product/goods/140829086
"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)","지미정, 오한나, 노명호, 권의선, 김영수  외 4명
                                        
정보 더 보기/감추기



지미정
오한나
노명호
권의선
김영수
이진원
장희영
소민영
조보현",앤써북,2024년 09월,21000,18900,18,"36,615",N/A,"수업의 변화는 평가 패러다임을 바꾸는 것부터 시작된다. 『2022 개정 교육과정 평가, AI로 날개를 달다』 책에는 9명의 현직 교사가 교육과정과 평가를 AI로 풀어가는 실천 사례와 그 과정을 진솔하게 고스란히 담...",https://www.yes24.com/product/goods/130156178
IT 트렌드 2026,김지현,크레타,2025년 10월,20000,18000,13,"2,514",N/A,"“기술 변화를 인지하고 이해하는 일은 새로운 시장 혁신과 산업 전망을 통찰하는 출발점” AI로 설계하는 2026 대한민국과 AX 미래 생존 전략, AI가 만든 새로운 패권의 시대가 온다기술의 시간은 인간의 시간보다 ...",https://www.yes24.com/product/goods/154580236
VPython으로 시작하는 융합 시뮬레이션 수업,"송석리, 박솔애",길벗,2025년 09월,25000,22500,0,"3,579",N/A,"과학, 수학, 정보에 대한 이해를 바탕으로 이뤄지는 창의적 융합 프로젝트 수업VPython(Visual Python)은 파이썬 프로그래밍언어로 작성된 코드를 3D 결과물로 보여주는 라이브러리이다. 복잡한 그래픽 코드를 작성...",https://www.yes24.com/product/goods/152815857
생성형 AI를 위한 프롬프트 엔지니어링,"제임스 피닉스, 마이크 테일러 /정의형, 정한결 역",한빛미디어,2025년 06월,38000,34200,8,"4,218",N/A,"AI의 잠재력을 극대화하는 핵심 기술프롬프트 엔지니어링 완전 정복! 생성형 AI는 우리가 정보를 생성하고 활용하는 방식을 혁신적으로 변화시키고 있다. 『생성형 AI를 위한 프롬프트 엔지니어링』은 챗GPT, 스테이...",https://www.yes24.com/product/goods/147735087
AI 내부자들,"안건, 황민영, 김영현, 이활석, 박지혁  외 13명
                                        
정보 더 보기/감추기



안건
황민영
김영현
이활석
박지혁
홍창기
설형욱
문현지
한승주
이성민
문인태
이동현
노지혜
김수현
이민아
장요엘
유윤아
오창환",스마트북스,2025년 09월,22000,19800,3,"2,058",N/A,"AI 혁신은 어떻게 일어나는가?MIT · 스탠퍼드 · 하버드 · 조지아텍 · 시카고대 · UC버클리,구글 딥마인드 · 엔비디아 · 업스테이지 · 와들 · H2K까지글로벌 탑티어들의 AI 미래 보고서『AI 내부자들』은 MIT · 스탠...",https://www.yes24.com/product/goods/153603522
알아서 잘하는 에이전틱 AI 시스템 구축하기,"안자나바 비스와스, 릭 탈루크다르 /김모세 역",제이펍,2025년 09월,28000,25200,2,"3,387",N/A,"복잡한 AI 시스템을 조율하는 조정자 · 작업자 · 위임자 모델로 에이전트 구축하기 이 책은 생성형 AI를 활용해 계획·추론·행동하는 자율 AI 에이전트를 설계하고 배포하는 방법을 다룬다. 예시 프로젝트로 CrewAI, ...",https://www.yes24.com/product/goods/151381888
챗GPT 교사 마스터 플랜,한민철,책바세,2025년 09월,27000,24300,23,"3,924",N/A,"챗GPT 교사 마스터 플랜이 새롭게 전면 개정판으로 돌아왔다!막상 해 보면 되는 유용한 프롬프트 작성법부터 미드저니 웹 버전, 현재 많은 관심을 받고 있는 구글 제미나이와 구글 노트북LM 활용법 등 새로운 내용이...",https://www.yes24.com/product/goods/152814420
핸즈온 LLM,"제이 알아마르, 마르턴 흐루턴도르스트 /박해선 역",한빛미디어,2025년 06월,38000,34200,19,"5,811",N/A,"LLM, 눈으로 익히고 손으로 구현하라. 트랜스포머 구조부터 시맨틱 검색, 미세 튜닝, 프롬프트 엔지니어링까지 그림과 실전 코드로 만들면서 배우는 대규모 언어 모델의 모든 것『핸즈온 LLM』은 LLM을 쓰는 것을 넘...",https://www.yes24.com/product/goods/146828240
보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책,박경수,한빛비즈,2025년 08월,22000,19800,9,"2,970",N/A,"업무에 바로 써먹는 생성형 AI 여기 다 있다!끝내주는 보고서 기획서 작성 with 생성형 AI단계별 프롬프트 가이드챗GPT를 비롯한 수많은 생성형 AI가 일상 속으로 깊숙이 들어온 지금, 이제 “AI를 아느냐 모르느냐...",https://www.yes24.com/product/goods/150009333
딥러닝 제대로 이해하기,사이먼 J. D. 프린스 /고연이 역,제이펍,2025년 08월,38000,34200,3,"2,721",N/A,"복잡한 모델 너머, 딥러닝의 본질에 다가가는 시간이 책은 복잡한 딥러닝 기술의 핵심을 직관적으로 풀어내면서도 이론과 실제 사이에서 균형을 잃지 않는다. 먼저 딥러닝을 지탱하는 기본 개념부터 차근차근 설명한...",https://www.yes24.com/product/goods/150795058
밑바닥부터 시작하는 딥러닝 1,사이토 고키 /개앞맵시 역,한빛미디어,2025년 01월,26000,23400,138,"10,035",N/A,딥러닝 분야 부동의 베스트셀러!머리로 이해하고 손으로 익히는 가장 쉬운 딥러닝 입문서이 책은 딥러닝의 핵심 개념을 ‘밑바닥부터’ 구현해보며 기초를 한 걸음씩 탄탄하게 다질 수 있도록 도와주는 친절한 안내...,https://www.yes24.com/product/goods/141787639
AI 광고 제작,"문수민, 민지영, 전은재, 최종수, 앤미디어",길벗,2025년 09월,27000,24300,38,"2,268",N/A,"비용 걱정 No, 하루 1시간에 완성!숏폼 홍보 영상부터 브랜드 광고까지광고 기획, 구성, 스토리, AI 이미지, 영상 제작유튜브 쇼츠, 릴스, 틱톡 홍보 영상도 내가 만든다!창업, 소상공인 홍보 영상 제품 브랜드 광고...",https://www.yes24.com/product/goods/151980353
누구나 쉽게 배우는 인공지능 스타트 with 챗GPT,박동규,인피니티북스,2025년 01월,29000,29000,1,"3,804",N/A,"""최신 ChatGPT 내용을 추가한 인공지능 완벽 가이드!""인공지능의 기초부터 심화까지, 초보자를 위한 최고의 입문서‘2023 세종도서’의 학술부문으로 선정되었던 『누구나 쉽게 배우는 인공지능 스타트』가 개정되어...",https://www.yes24.com/product/goods/141218507
10배 빠르게 일하고 연봉 높이는 챗GPT 업무 비법,유캔코드,한빛비즈,2025년 09월,23000,20700,11,"1,956",N/A,"누적 수강생 6만, 최단 기간 최대 매출 1등 강사!실무에 바로 쓰는 찐 활용법만 담은 챗GPT 안내서★★ AI 시작을 망설이는 사람을 위한 챗GPT 종합활용서_박종천 넥스트인텔리전스 AI 어드바이저★★ 저자의 노하우...",https://www.yes24.com/product/goods/152647602
테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,이경록,리코멘드,2025년 05월,34000,30600,1,"6,696",N/A,"8단계 RAG 파이프라인으로 LLM의 성능을 50점에서 90점으로 끌어올리는 RAG 시스템ChatGPT와 같은 LLM은 다양한 업무에 활용되지만, 최신 정보나 특정 문서 내용을 정확히 반영하지 못하는 한계가 있다. 이를 극복하...",https://www.yes24.com/product/goods/146874665
테디노트의 랭체인을 활용한 RAG 비법노트 [심화편],이경록,리코멘드,2025년 06월,28000,25200,1,"3,420",N/A,파이프라인을 최적화하고 에이전트를 만들어 서비스로 배포하기까지90점짜리 RAG를 100점짜리 고급 RAG로 업그레이드하는 비법데이터를 검색해서 답변을 생성하는 RAG를 익혔다면 이제 정보를 더 정교하게 추출하고 ...,https://www.yes24.com/product/goods/147569409
AI 인류혁명,안종배,박영사,2025년 10월,10000,10000,6,"1,164",N/A,"AI와 함께 여는 인류를 위한 문명한국형 소버린 AI, AI 휴머니즘 선도“인간다움의 길을 열다”현재 빌보드 챠트 핫 차트에서 애니메이션 ‘케이팝 데몬 헌터스’ OST로 AI 캐릭터 아이돌 걸그룹 ‘헌트릭스’가 부...",https://www.yes24.com/product/goods/155186548
LLM을 활용한 실전 AI 애플리케이션 개발,허정준 /정진호 그림/박재호 감수,책만,2024년 07월,32000,28800,27,"17,304",N/A,"트랜스포머 아키텍처부터 RAG 개발, 모델 학습, 배포, 최적화, 운영까지 라마인덱스와 LLM을 활용한 AI 애플리케이션 개발의 모든 것이 책에서는 LLM의 기본 아키텍처에서 출발해 애플리케이션의 요구사항에 맞춰 LL...",https://www.yes24.com/product/goods/129081594
AI가 바꾸는 일터의 미래,김성준,포르체,2025년 08월,20000,18000,17,"2,520",N/A,"‘AI 시대 일터의 미래’를 내다본 국내 최고 조직전문가의 통찰일의 본질과 조직의 미래를 날카롭게 통찰한 결정적 안내서!대한민국 최고 조직 연구자 김성준 교수의 심층 분석과 제언과거의 혁신을 읽고, 미래의 ...",https://www.yes24.com/product/goods/151679786
AI로 7일 만에 사업 시작하기,김다솔,길벗,2025년 06월,22000,19800,48,"6,618",N/A,"사람 한 명 뽑을 여유는 없지만, 일은 많고, 시간은 없고, 손은 모자랄 때 ‘AI’가 바로 그 자리를 채워줄 수 있다. 『AI로 7일 만에 사업 시작하기』는 생성형 AI를 단순한 툴이 아닌 직원, 팀원, 파트너로 채용하...",https://www.yes24.com/product/goods/146828776
생성형 AI 활용 백과사전,"다쿠치 카즈히로, 모리시마 료코, 이시타니 마사키 /서수환 역",길벗,2025년 06월,24000,21600,47,"3,978",N/A,"AI 시대를 살아가는 모두를 위한 실전 백과사전!100가지 사례로 익히는, 일상과 업무를 바꾸는 AI 활용법!하루가 다르게 진화하는 생성형 AI, 어디서부터 어떻게 시작해야 할지 막막한가? 이 책은 지금 가장 주목받...",https://www.yes24.com/product/goods/147626022
AI 영화 제작,"민지영, 문수민, 전은재, 앤미디어",길벗,2024년 11월,27000,24300,83,"8,334",N/A,"제작비 부담 No, 3일 만에 완성! 광고, 게임부터 3D 애니메이션까지미드저니, 챗GPT, 루마 AI, 캡컷, 프리미어 프로 활용법 수록AI 도구를 활용해 촬영 없이 영상을 만드는 방법은 지금 영상 제작 업계에서 빠르게 ...",https://www.yes24.com/product/goods/136304038
모두의 딥러닝,조태호,길벗,2025년 04월,29000,26100,13,"3,165",N/A,"그 무엇보다 쉽게, 누구나 이해할 수 있는 딥러닝 입문서딥러닝 기초부터 챗GPT의 근간이 되는 자연어 처리와 트랜스포머까지!머신 러닝부터 챗GPT까지, AI는 끊임없이 변화하고 있지만, 그 변치 않는 뿌리는 딥러닝...",https://www.yes24.com/product/goods/145612410
생각을 맡기는 사람들: 호모 브레인리스,안광섭,제이펍,2025년 09월,20000,18000,10,"1,656",N/A,"생각할 것인가, 잠길 것인가이 책은 AI 시대를 살아가는 우리에게 ‘생각을 외주화하지 말라’는 강력한 메시지를 던진다. 단순히 최신 도구의 사용법을 익히는 안내서가 아니라, 질문력·비판적 사고·구조화된 사고...",https://www.yes24.com/product/goods/153156828
파인만의 컴퓨터 강의,리처드 파인만 /토니 헤이 편/서환수 역,한빛미디어,2025년 06월,29000,26100,9,"2,478",N/A,"AI, 양자 컴퓨터, 로보틱스컴퓨터의 미래를 내다본 물리학자의 강의를 다시 만나다“컴퓨터 과학은 우리가 주변 세상에서 어떤 것을 알 수 있고 어떤 것을 알 수 없는지를 다시금 생각하게 만든다.” - 리처드 파인...",https://www.yes24.com/product/goods/147738180
요즘 우아한 AI 개발,우아한형제들,골든래빗,2025년 04월,24000,21600,11,"8,367",N/A,"‘우아한형제들’의 진짜 개발 이야기, AI와 함께 돌아왔습니다!배달의민족 메뉴 추천 AI부터 배달 로봇까지, 현실이 된 AI 기술 이야기 수록우아한형제들의 생생한 개발 이야기를 엮은 『요즘 우아한 개발』이 AI ...",https://www.yes24.com/product/goods/143753715
혁펜하임의 Easy! 딥러닝,혁펜하임,북엔드,2024년 11월,35000,31500,24,"8,790",N/A,"『혁펜하임의 Easy! 딥러닝』은 딥러닝을 처음 접하는 독자들을 위한 필수 가이드로, 인공지능의 기초 개념부터 CNN, RNN 등 딥러닝의 주요 주제를 폭넓게 다루고 있다. KAIST 박사이자 유튜버로 활동 중인 혁펜하임...",https://www.yes24.com/product/goods/139734696
LLM 프로덕션 엔지니어링,"루이-프랑수아 부샤르, 루이 피터스 /김태헌 역",제이펍,2025년 09월,36000,32400,5,"1,593",N/A,"모델의 구조를 이해하고, 정확하고 신뢰할 수 있는 생성형 AI 시스템 설계법LLM 상용화가 가속화되면서 정확성, 신뢰성, 확장성을 갖춘 프로덕션 수준의 구현 역량이 핵심 기술로 자리 잡고 있다. 이제 개발자는 LLM...",https://www.yes24.com/product/goods/152649470
교실에서 바로 쓰는 퀴즈X평가 플랫폼 : 과정 중심 평가를 위한 에듀테크 활용 전략서,"박정수, 전병호",앤써북,2025년 10월,18800,16920,13,"1,302",N/A,"과정 중심 평가의 중요성이 커지는 교육 현장에서, 교사들은 ‘결과를 매기는 평가’에서 ‘성장을 이끄는 평가’로 나아가야 하는 과제를 안고 있다. 『교실에서 바로 쓰는 퀴즈×평가 플랫폼』책은 ChatGPT, 블루킷...",https://www.yes24.com/product/goods/154163496
AI 에디터 커서 Cursor 완벽 가이드,키노시타 유이치로 /김모세 역,영진닷컴,2025년 07월,22000,19800,8,"3,321",N/A,"말하기만 하면 만들어주는 AI 코드 에디터, Cursor로 시작하는 새로운 프로그래밍프로그래밍의 상식이 바뀌고 있다. 생성형 AI의 등장은 소프트웨어 개발의 패러다임을 근본적으로 변화시키고 있으며, 이제는 프로그...",https://www.yes24.com/product/goods/148350160
